account_username,engagement,medEngagement
mintchyy,67445,8139
ice_napatcharin,49030,2580
icepadie,86737,9018
alrisaa,300003,40620.5
bifern,114897,12401
ndmikkiholic,61375,10939.5
praew.official,9664,1035.5
ploychava,123886,5877
pimlar_daiiyy,151108,20066
cutekiw,66897,10923
iampeachii,48165,11601
nkwww,46419,5334
manasaproyy,94589,21319
emmeemm,119626,18787
pearypie,72309,8927
brinkkty,112106,13393.5
pimtha,398054,115466
primprch,95246,5445
iiitoei,450109,38042
kan_atthakorn,78818,30416.5
thisisbebe,140303,15897.5
juneteeratee,40713,4270
nobluk,48666,11268
fahsarika,146505,23409
architasiri,213603,19772.5
mayyr_,193489,53472.5
zbingz,58568,17340.5
gagagail,48969,13859
zommarie,119753,18557.5
ple_nakorn,114023,12296
babyjingko,40462,6424
sakulkyp,53092,14968
gracebuchita,82212,36350
janistarr,116600,17807
toeyprim,43679,8765
antoine_pinto,82788,5568
maxky_rp,61815,32623
nnevvy,168444,45730
maxim_aoffy,54702,13302
gamkotcha,72512,26865
bietheska,144538,11257.5
reenp,44442,19777
fahhaha_,53892,11107
riety.pahn,52244,11642.5
jewsippothai,58470,2630
bewvaraporn,47449,7617
greenpeace,176263,24136
kapookphat,44959,10140
eyetayungmaitaii,43045,3577
katoon_tt,45313,7314.5
nisamanee_nutt,138243,21993
djpetjah,172069,21718.5
nongchat,58458,1345
_thelittleteapot_,62640,14672.5
kantichachumma,174465,32104
gadd.de,152240,31152.5
juepakofficial,50489,5203.5
meijimill,210641,60711
perthkvsr,121965,46776
kayavine,222853,82224
alie.blackcobra,93072,13999
soundtiss,58558,6764
arisahomgroon,70937,8238
migrationology,168729,30139.5
sibbil_,53333,13478
hehaatv,58196,13060
sunbeary,191732,56678
iroamalone,120599,41668
hastation,83360,11442.5
krupann.english,53530,4287
littlemonsterrocknroll,18182,1269.5
chepocat,53510,11191
cchanatt,46292,3767
dekjewchillout,13596,2658
ilawclub,5381,567
dogplease,37691,10957
kingdomoftigers,24987,6241
kaykai_ntch,496696,173475
glutadog,61345,26149
bell_aiya,50346,18628.5
prite_netijenn,265832,174569
bonebone29,87979,10719
mawin_twp,95568,15358
pantipa.a,693941,74199.5
namnung.p,50286,15575.5
vanda29,425621,32305
sairamirror,42397,17423
carissa_spg,84733,4072
oppathuchy,91603,12326
sundaekids,171752,71845
punpromotion,60110,7693.5
ter_nawapol,41845,2819.5
neenneeen,60802,7469
atlovehoroscope,48854,13665
greantak,58002,1239
anan.ped,68118,23448
pssyppl,69860,616.5
kyutaeoppa,150512,50033
ejan2016,50201,2443
up_clip,55122,741
kujingjunkk,46936,2738
romanticraipoet,63625,10387
thematter.co,29533,387.5
ha.chiphai,45109,842.5
ha.hutatek,45727,920
milkypraiya,50226,9147
thee.phee,56161,21229.5
the101.world,3344,65
