account_username,engagement,medEngagement
foodblogbkk,51323,343.5
TAXBugnoms,70340,206
MintMovie,127412,23
pyongdoctor,134,28
basementkaraok1,78021,5614
patlovepat,1900,32
GiveMuseums,63475,130
reanher,26094,43
JapaneseBaobao,92271,2364
tamroyfilm,70189,96.5
rietyrive,40111,707
iLawFX,103207,611
9tana,71489,9
ndmikkiholic,76870,211
khajochi,35129,63
22mmtt,84392,12
Bonusiie,48598,3568
bongtao,94761,218
iiitoei,79018,185
ceemeagain,16436,110
kidmakk,109794,2998.5
littlefahsai,61411,25
xxhani__,124136,83
2610october,85092,16
Psolemn,140648,504
marisa_ress,66622,152
Sue_Ching,117502,101
thidakarn,134481,890
Kirarista,46916,244
mimilkss,95570,2312.5
aumbellezza,60248,6
onnieyepo,55722,81
kamonnart,65357,16
b1f3rn,130544,193.5
ter_nawapol,89922,173
primprch_,95436,36
PretzzelReview,42642,484.5
AddPalm,73356,19
BuffaloGags,35762,474
jaytherabbit,99107,16
Iimrrizz,62907,342
minbanyen,12860,156
Eng_afternoonz,45515,587
castby9arm,45311,349
RomcomSociety,67374,32
merireview,111256,400
Payunbud,87108,12
Gopgapreview,77479,122
khruzee,17483,10
feonalita,85359,20
uysaitag,68810,9
maxky_rp,63606,1344.5
noyneungmakeup,84548,90
Viviennewonder,77466,196.5
tomornism,77373,106
UnderbedDara,73812,6082.5
IamSasdha,52427,57
Soundtiss,108818,97.5
JEDIYUTH,107506,29
WWFThailand,8911,25
fonfondly,64830,116
mintchyy,106257,193
kkhwan,100005,89
sudsapda,45213,38
iLawclub,44140,313
JebanSundae,56943,309
kayavine,102741,6950.5
erk_erk,60950,7
spin9,119363,523
impeachii,109141,411
krupnan,74292,39
fhay_cotton_h,76612,323
englishbykruann,122691,309
aimmelicious,50740,4
_evefee_,61679,53
pameereview,80265,56
gynegene,68997,51
thematterco,85274,145
pikulham,89511,69
ter_tories,40303,32.5
earthpynn,40624,30
ajummabakorea,66028,734.5
donlaima,83834,249
nidnok,44219,7
Tanxlive,56887,471
GlutaStory,67045,6552
bewtyjunkie,84731,8
Linghokkalom,72636,4
letstalkaboutKR,43970,294
BoyCityChan,52339,1592.5
tTukablythe,55093,173
lookkkkmaai,54775,289
Bas_GoWentGo,97078,271
Foybeautydiary,67726,429.5
the101_world,58057,29
Taeholic_V,35879,12401
stickwithme4ev,31006,294.5
piyapeauty,96744,27
BlacklistSecret,101475,298
spacethnews,15268,154
brinkkty,119258,471
_georgiejr,44039,26
EaseAround,75573,125.5
nobluk,102275,184
tummytravel,19668,54.5
ninekai666,58338,1605
longtunman,45840,90
wannasingh,135492,2354
JorDorOr,47323,30
nualthedog,48761,100
glitterxmatter,70110,140
ReReef1,64046,34
bellybangg,75595,96
