account_username,view,engagement,medEngagement
Chillpainai,2323206,667,1500.5
FeelingRock,2414177,690,38228
UDiEX2,6618599,3550,1004460
หม่อมถนัดแดก,6726404,2544,1063562.5
108Life,3906259,567,498536.5
HeHaa TV,7057462,5808,862852
MonDEV,2906773,2962,782711
10kcalmuscle,6815443,2317,189259
กินได้อร่อยด้วย,6458762,1824,119235.5
รถซิ่งไทยแลนด์ (RodzingThailand),2371084,627,140474
SkizzTV,2260498,4162,682711
HEARTROCKER,4246698,3349,789329
ทําเอง กินเอง Byแม่Milko_o,2985259,1935,30013
โคตรคูล,2373185,3190,352211
Meijimill,4457341,2325,1016531
beartai,2532953,8013,14263
zbing z.,9136280,5545,1544112.5
sixpackclub.net,2809204,438,9958
กาย หงิด,3726618,1638,927928
My Mate Nate,5911366,5498,936361
Buffet Channel,14381538,248,180995
PEACH EAT LAEK,11829384,5113,1176700.5
IceBank Diary,5170236,1529,94871
The Moof,2272624,2023,41232
Guy Haru Family,4324871,0,61059
ไทยสุรินทร์ กินแซบๆ,2724026,1963,307
KidsOnCloud,2978542,0,107073
King SoYer,3775498,2093,619803
CGGG,5097902,4386,584050
Arainy,6311548,3939,143472.5
อร่อยนัวร์ [Aroy N],2437878,3467,59803
Antoine Pinto - อองตวน ปินโต,2777982,2671,62295
MR.Kyoro Danger,2804071,345,98917
Gluta Story,1603076,1921,259024
Ozrealman,5227380,6147,1050361
MOV Studio,2503749,1399,674281.5
YimYam TV,29199147,0,814160
I Roam Alone,3246865,2675,842749
XO Autosport,3274700,1131,24099.5
CHUJAI FAMILY,1829527,0,14564
ple nakorn CHANNEL,2833485,2632,386258
Kaykai Salaider,16151780,26273,5169848
VRZOchannel,2899063,1100,385359
djpetjah channel,3033967,1137,450567
Ajumma Nammy,3266688,2140,907051.5
Sean Buranahiran - ฌอน บูรณะหิรัญ,4002731,1950,95811
Fit Kab Dao,5282773,1653,22494.5
BEBE FIT ROUTINE,3502991,780,185930.5
MUJI SAMA,2749386,4331,51734.5
Kyutae Oppa,16215289,33249,1029440
SoftpomzChannel,3233474,2851,368315
PRIMKUNG,3668726,3459,661476
Chickypie,3466965,3192,373001
Brianna's Secret Club TH,9408238,0,529234
Thanks For Watching,4560354,554,316220
ป้าหนึ่ง ตึ่งโป๊ะ,2753703,1539,73011
Sprite Salaider,10974495,4381,3154205.5
KRK Studio,3733278,0,358045
N NEXT CH,2544899,1026,42454
จดอ - JUSTดูIT.,3616700,2703,123857.5
DZee Studio,2644351,454,57327.5
Bie The Ska,23850362,9542,1250067
MinuteVideos Thailand,2333428,503,52563
MNJ TV,11094179,9825,920955.5
Malinda Herman Official,4245435,21951,18840.5
The snack,3587710,10029,715049
BoomTharis,2843291,6133,289223
MOJIKO,3571981,3709,514895
กิต งายย,2761886,1695,517022.5
ohana clip,8175108,7719,1064282.5
DrAmp Team,1977111,733,58752
MyQuest,2964001,3309,93718
Bearhug,3663663,1803,1065498.5
Kim Property Live,860141,486,58068
DJ.DREAMERTH,3114346,5107,136486
Skylaxy Channel,4578303,720,430085
Life of Cars Bkk - ตามติดชีวิต 4 ล้อ,2342994,974,168099
MAY DevilMeiji,13353482,3765,65793
tigercrychannel,3026238,1397,558199
โอ หงิด,4296108,2961,146234
Nobi,5032916,3078,59218
1412,10302945,24974,821009
Dek Jew Chill Out,5686039,0,510922
CarDebuts,1932190,1828,58937
IceBarBer,4360260,2010,263214
กับข้าวกับปลาโอ PlaoCooking,7013192,1112,175864
SPOOKY TV,4041533,1804,799233.5
GoyNattyDream Channel,4993231,11825,940691
TAE,10550105,1330,247425
สะใภ้เกาหลี by korean,3711785,2854,970253
Epic Time,5938332,6145,1528312
SAN CE,3333556,2062,293650.5
เฉลิมศรี,6817828,4008,377639
Pit Start,1321017,1114,59198
จอนนี่ แมวศุภลักษณ์,4305981,3466,2215.5
TOR Torpedo,13952179,1801,1174056
SorDor Style,2360552,2486,387331
กินไปไทยหรั่ง,4733018,1892,324357
SANDEE CH,3799942,2408,262897.5
ข้าวจ้าว หมากวนตีน,1443370,1028,152496
zommarie,3450116,1660,296691
LowGrade,10574529,10474,427283
Mark Wiens,5549703,6764,1488389.5
ครูนกเล็ก,13832885,1,233316
Salaider Esport,3037880,1685,50398
Kanomroo,9989655,1539,52357
PojzPlaza,5076278,3238,1110937
